종목코드,회사명,시장구분,업종,결산년도,자산총계,유동자산,고정자산,부채총계,유동부채,고정부채,자본총계,자본금,자본잉여금,이익잉여금,매출액,영업이익,당기순이익,매출액증감률,영업이익증감률
365550,ESR켄달스퀘어리츠,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,12.98,15.64
383220,F&F,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.26,10.15
007700,F&F홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-0.57,-9.96
114090,GKL,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,3.76,21.31
078930,GS,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.83,11.17
006360,GS건설,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.77,16.93
001250,GS글로벌,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.29,24.97
007070,GS리테일,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.53,21.45
078935,GS우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,4.06,22.63
499790,GS피앤엘,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.16,-9.64
012630,HDC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.05,19.1
039570,HDC랩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-9.41,-4.87
089470,HDC현대EP,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.31,19.96
294870,HDC현대산업개발,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-8.57,1.73
009540,HD한국조선해양,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,3.24,13.2
267250,HD현대,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.07,1.82
267270,HD현대건설기계,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-6.64,-10.16
443060,HD현대마린솔루션,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,3.17,-4.23
071970,HD현대마린엔진,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,3.53,-15.08
010620,HD현대미포,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.34,-14.3
322000,HD현대에너지솔루션,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.67,-14.04
042670,HD현대인프라코어,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.35,11.62
267260,HD현대일렉트릭,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.44,-8.15
329180,HD현대중공업,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.26,0.55
097230,HJ중공업,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,14.18,-3.69
014790,HL D&I,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.44,-2.46
003580,HLB글로벌,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.75,13.31
204320,HL만도,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-5.41,24.69
060980,HL홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.08,-18.22
011200,HMM,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,11.23,-0.13
035000,HS애드,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,13.41,23.58
002460,HS화성,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.87,10.06
487570,HS효성,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.8,9.77
298050,HS효성첨단소재,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.71,20.05
003560,IHQ,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,11.49,23.77
175330,JB금융지주,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-9.07,22.04
234080,JW생명과학,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.13,-5.65
001060,JW중외제약,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.89,2.34
001067,JW중외제약2우B,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-8.64,-9.05
001065,JW중외제약우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,8.38,19.36
096760,JW홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.77,-5.45
105560,KB금융,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.76,23.88
415640,KB발해인프라,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.13,14.81
432320,KB스타리츠,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,1.7,16.59
002380,KCC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,14.47,-6.48
344820,KCC글라스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,1.62,-9.74
009070,KCTC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,14.68,4.02
009440,KC그린홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,8.0,-10.45
119650,KC코트렐,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-0.02,-18.01
092220,KEC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.44,17.66
003620,KG모빌리티,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.08,-7.1
016380,KG스틸,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.27,23.47
001390,KG케미칼,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-6.86,7.48
033180,KH 필룩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-6.35,5.96
015590,DKME,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,3.74,7.47
001940,KISCO홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,5.48,2.95
025000,KPX케미칼,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,4.54,-17.86
092230,KPX홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.43,-7.47
000040,KR모터스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-0.15,-7.35
044450,KSS해운,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,8.97,-16.26
030200,KT,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.65,-12.54
033780,KT&G,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,11.71,-2.76
058850,KTcs,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,14.75,18.92
058860,KTis,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,11.68,21.9
093050,LF,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,0.35,-18.28
003550,LG,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,4.62,-4.32
034220,LG디스플레이,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,0.09,-7.09
051900,LG생활건강,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.15,10.36
051905,LG생활건강우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-9.49,-0.72
373220,LG에너지솔루션,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,0.88,13.42
003555,LG우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,13.85,-1.11
032640,LG유플러스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-9.26,-18.47
011070,LG이노텍,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.28,3.32
066570,LG전자,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.02,0.68
066575,LG전자우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-5.45,11.64
037560,LG헬로비전,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,10.65,-9.47
051910,LG화학,KOSPI,화학제품 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,8.79,-16.3
051915,LG화학우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.08,-15.12
079550,LIG넥스원,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.37,18.25
006260,LS,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-5.61,1.05
010120,LS ELECTRIC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,10.74,-7.66
000680,LS네트웍스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.61,24.33
229640,LS에코에너지,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.31,24.77
108320,LX세미콘,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,3.44,23.34
001120,LX인터내셔널,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-8.33,2.44
108670,LX하우시스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,8.77,-13.21
108675,LX하우시스우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.84,-7.92
383800,LX홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.96,-2.91
38380K,LX홀딩스1우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.05,-6.8
023150,MH에탄올,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,4.1,24.34
035420,NAVER,KOSPI,IT서비스업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-5.85,9.06
181710,NHN,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,1.96,-8.51
400760,NH올원리츠,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,12.36,-13.63
005940,NH투자증권,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.34,-1.59
005945,NH투자증권우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,1.17,-4.52
338100,NH프라임리츠,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,11.05,-17.54
034310,NICE,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,5.3,-16.38
030190,NICE평가정보,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.88,20.32
008260,NI스틸,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-5.35,-12.74
004250,NPC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.27,-16.9
004255,NPC우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-3.49,19.08
456040,OCI,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,10.69,1.18
010060,OCI홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.2,-2.47
178920,PI첨단소재,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,12.27,24.65
005490,POSCO홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.4,20.98
010950,S-Oil,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,12.93,-2.5
010955,S-Oil우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,4.37,-3.06
034120,SBS,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.19,6.6
005090,SGC에너지,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.21,-7.68
001380,SG글로벌,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.59,22.85
004060,SG세계물산,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,3.62,10.72
001770,SHD,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,8.44,-1.62
002360,SH에너지화학,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.82,-15.89
009160,SIMPAC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,8.58,6.28
033530,SJG세종,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-8.66,-16.28
123700,SJM,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,4.57,0.1
025530,SJM홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.56,-10.38
034730,SK,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.26,-2.89
011790,SKC,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.99,-7.74
018670,SK가스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,8.93,21.9
001740,SK네트웍스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,13.37,-7.18
006120,SK디스커버리,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,3.58,14.84
006125,SK디스커버리우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.45,-1.55
210980,SK디앤디,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,5.56,3.39
395400,SK리츠,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,2.13,4.68
302440,SK바이오사이언스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-0.89,-12.74
326030,SK바이오팜,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,11.89,4.74
402340,SK스퀘어,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-2.67,-11.1
361610,SK아이이테크놀로지,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.9,19.57
100090,SK오션플랜트,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,9.48,12.69
03473K,SK우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,12.76,8.27
096770,SK이노베이션,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,5.8,9.33
096775,SK이노베이션우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,11.21,8.9
475150,SK이터닉스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,4.09,-0.68
001510,SK증권,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,4.56,-5.56
001515,SK증권우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-8.26,1.44
285130,SK케미칼,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.53,-16.88
28513K,SK케미칼우,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-6.9,1.76
017670,SK텔레콤,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.65,14.83
000660,SK하이닉스,KOSPI,반도체 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,12.57,11.96
003570,SNT다이내믹스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-7.47,0.76
064960,SNT모티브,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-5.71,-12.86
100840,SNT에너지,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-4.01,-13.54
036530,SNT홀딩스,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.15,12.01
005610,SPC삼립,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,-1.63,-7.6
011810,STX,KOSPI,기타 제조업,2024/12,100000,40000,60000,40000,24000,16000,60000,6000,12000,42000,80000,8000,6000,6.74,14.57
