Year,????,???,??,??,???,EPS,PER,?? EPS,?? PER,BPS,PBR,?????,?????
2024-12-23,1685,???,16180,-20,-0.12,,,,,,,810,5.01
2024-12-23,84690,?????,10190,140,1.39,568,17.94,,,20000,0.51,270,2.65
2024-12-23,84695,??????,16000,-60,-0.37,,,,,,,280,1.75
2024-12-23,36480,?????,9170,20,0.22,,,,,9829,0.93,75,0.82
2024-12-23,128820,????,3335,25,0.76,,,,,15906,0.21,0,0
2024-12-23,117580,?????,8450,70,0.84,549,15.39,,,11752,0.72,250,2.96
2024-12-23,27830,????,1866,32,1.74,46,40.57,,,1573,1.19,0,0
2024-12-23,104040,?????,875,3,0.34,,,,,1618,0.54,0,0
2024-12-23,129920,?????,3380,30,0.9,,,7,463.57,5446,0.62,0,0
2024-12-23,16710,?????,7230,-50,-0.69,9558,0.76,,,26059,0.28,250,3.46
2024-12-23,442310,??????14???,2100,5,0.24,,,,,,,0,0
2024-12-23,457390,??????15???,2220,-10,-0.45,,,,,,,0,0
2024-12-23,457630,??????16???,2095,0,0,,,,,,,0,0
2024-12-23,471050,??????17???,2050,-10,-0.49,,,,,,,0,0
2024-12-23,478780,??????18???,2015,0,0,,,,,,,0,0
2024-12-23,482690,??????19???,1997,-2,-0.1,,,,,,,0,0
2024-12-23,20180,??????,1179,17,1.46,171,6.89,,,895,1.32,30,2.54
2024-12-23,3540,????,16460,80,0.49,2036,8.08,1965,8.38,44804,0.37,1200,7.29
2024-12-23,3547,????2?B,14940,80,0.54,,,,,,,1200,8.03
2024-12-23,3545,?????,15830,-160,-1,,,,,,,1250,7.9
2024-12-23,45390,?????,3055,-20,-0.65,158,19.34,,,1730,1.77,0,0
2024-12-23,9190,????,1701,44,2.66,,,,,1938,0.88,0,0
2024-12-23,108380,??????,12760,100,0.79,904,14.12,1547,8.25,24418,0.52,0,0
2024-12-23,14160,????,1022,29,2.92,83,12.31,,,1832,0.56,0,0
2024-12-23,47040,????,3335,35,1.06,1245,2.68,769,4.34,9847,0.34,0,0
2024-12-23,3090,??,21150,750,3.68,3692,5.73,2960,7.15,22861,0.93,100,0.47
2024-12-23,69620,????,125900,1100,0.88,10656,11.81,10100,12.46,66686,1.89,600,0.48
2024-12-23,7680,??,4150,-60,-1.43,,,,,20879,0.2,0,0
2024-12-23,430,????,3955,65,1.67,494,8.01,,,8211,0.48,110,2.78
2024-12-23,48910,?????,7860,90,1.16,514,15.29,882,8.91,8346,0.94,100,1.27
2024-12-23,5710,????,6030,40,0.67,1784,3.38,,,22246,0.27,175,2.9
2024-12-23,6340,????,3195,320,11.13,129,24.77,,,1345,2.38,0,0
2024-12-23,6345,?????,4800,890,22.76,,,,,,,0,0
2024-12-23,3220,????,14110,180,1.29,1140,12.38,1731,8.15,12559,1.12,300,2.13
2024-12-23,24890,????,1010,9,0.9,,,,,1295,0.78,0,0
2024-12-23,290380,??,2300,0,0,,,,,3410,0.67,0,0
2024-12-23,2880,?????,1220,16,1.33,,,,,783,1.56,0,0
2024-12-23,300,?????,1984,0,0,,,,,,,0,0
2024-12-23,120240,????,13200,170,1.3,1807,7.3,,,23228,0.57,450,3.41
2024-12-23,3310,????,1458,19,1.32,287,5.08,,,2167,0.67,42,2.88
2024-12-23,78600,??????,79000,1300,1.67,47,1680.85,2114,37.37,10513,7.51,0,0
2024-12-23,12800,??,1283,28,2.23,,,,,2892,0.44,0,0
2024-12-23,15230,????,5140,10,0.19,1310,3.92,,,10294,0.5,180,3.5
2024-12-23,96350,?????,316,3,0.96,15,21.07,,,189,1.67,0,0
